Episode,Step,StepReward,TotalReward,ActionGas,ActionSteer
0,282,0.00387,0.6234,0.75,-0.53
0,283,0.00387,0.6272,0.75,-0.53
0,284,0.00387,0.6311,0.75,-0.53
0,285,0.00388,0.6350,0.75,-0.53
0,286,0.00320,0.6382,0.35,-0.27
0,287,0.00312,0.6413,0.35,-0.27
0,288,0.00307,0.6444,0.35,-0.27
0,289,0.00308,0.6474,0.35,-0.27
0,290,0.00307,0.6505,0.35,-0.27
0,291,0.00250,0.6530,0.78,-0.41
0,292,0.00351,0.6565,0.78,-0.41
0,293,0.00350,0.6600,0.78,-0.41
0,294,0.00351,0.6635,0.78,-0.41
0,295,0.00351,0.6670,0.78,-0.41
0,296,0.00293,0.6700,0.97,-0.80
0,297,0.00353,0.6735,0.97,-0.80
0,298,0.00321,0.6767,0.97,-0.80
0,299,0.00297,0.6797,0.97,-0.80
0,300,0.00298,0.6827,0.97,-0.80
0,301,0.00213,0.6848,0.26,-0.65
0,302,0.00324,0.6880,0.26,-0.65
0,303,0.00395,0.6920,0.26,-0.65
0,304,0.00420,0.6962,0.26,-0.65
0,305,0.00418,0.7004,0.26,-0.65
0,306,0.00311,0.7035,0.41,0.31
0,307,0.00419,0.7077,0.41,0.31
0,308,0.00419,0.7119,0.41,0.31
0,309,0.00361,0.7155,0.41,0.31
0,310,0.00317,0.7186,0.41,0.31
0,311,0.00275,0.7214,0.43,-0.08
0,312,0.00319,0.7246,0.43,-0.08
0,313,0.00303,0.7276,0.43,-0.08
0,314,0.00301,0.7306,0.43,-0.08
0,315,0.00302,0.7336,0.43,-0.08
0,316,0.00214,0.7358,0.71,-0.67
0,317,0.00300,0.7388,0.71,-0.67
0,318,0.00300,0.7418,0.71,-0.67
0,319,0.00254,0.7443,0.71,-0.67
0,320,0.00252,0.7468,0.71,-0.67
0,321,0.00222,0.7491,0.76,-0.44
0,322,0.00253,0.7516,0.76,-0.44
0,323,0.00328,0.7549,0.76,-0.44
0,324,0.00354,0.7584,0.76,-0.44
0,325,0.00354,0.7620,0.76,-0.44
0,326,0.00331,0.7653,0.75,-0.22
0,327,0.00299,0.7683,0.75,-0.22
0,328,0.00299,0.7712,0.75,-0.22
0,329,0.00299,0.7742,0.75,-0.22
0,330,0.00299,0.7772,0.75,-0.22
0,331,0.00278,0.7800,0.63,-0.13
0,332,0.00301,0.7830,0.63,-0.13
0,333,0.00301,0.7860,0.63,-0.13
0,334,0.00301,0.7890,0.63,-0.13
0,335,0.00301,0.7920,0.63,-0.13
0,336,0.00264,0.7947,0.99,-0.13
0,337,0.00299,0.7976,0.99,-0.13
0,338,0.00298,0.8006,0.99,-0.13
0,339,0.00298,0.8036,0.99,-0.13
0,340,0.00298,0.8066,0.99,-0.13
0,341,0.00233,0.8089,0.92,0.45
0,342,0.00300,0.8119,0.92,0.45
0,343,0.00337,0.8153,0.92,0.45
0,344,0.00361,0.8189,0.92,0.45
0,345,0.00362,0.8225,0.92,0.45
0,346,0.00282,0.8253,0.62,-0.05
0,347,0.00361,0.8289,0.62,-0.05
0,348,0.00302,0.8320,0.62,-0.05
0,349,0.00301,0.8350,0.62,-0.05
0,350,0.00303,0.8380,0.62,-0.05
0,351,0.00205,0.8400,0.23,-0.64
0,352,0.00299,0.8430,0.23,-0.64
0,353,0.00297,0.8460,0.23,-0.64
0,354,0.00230,0.8483,0.23,-0.64
0,355,0.00220,0.8505,0.23,-0.64
0,356,0.00075,0.8513,0.62,0.40
0,357,0.00221,0.8535,0.62,0.40
0,358,0.00222,0.8557,0.62,0.40
